,,,,,,,,,,,,,,
Name:,Wood:,Stone:,Metal:,Gold:,Prom:,Health:,Type:,Limit:,Notes:,,,,,
Tier 1,"4,400",N/A,400,50,"1,000","186,000",Wood,N/A,100m detection radius.,,,,,
Tier 2,"1,600",N/A,100,75,"1,500","252,000",Wood,N/A,200m detection radius.,,,,,
Tier 3,"2,000","140,000",300,100,"2,500","540,000",Stone,N/A,300m detection radius.,,,,,
,,,,,,,,,,,,,,
Bank,,,,,,,,,,,,,,
Tier 1,"30,000","80,000",200,"1,000","40,000","360,000",Wood,N/A,No Guild Guards.,,,,,
Tier 2,"12,000","140,000",300,500,"20,000","720,000",Stone,N/A,Includes 1 Guild Guard total.,,,,,
Tier 3,"22,000","100,000",300,750,"30,000","1,080,000",Stone,N/A,Includes 2 Guild Guards total.,,,,,
,,,,,,,,,,,,,,
Barracks,,,,,,,,,,,,,,
Tier 1,"24,000","140,000",200,"1,000","50,000","400,000",Stone,N/A,Required for a single Guard Tower within 50m to respawn guards. Includes a Quartermaster 1 (Click to see inventory).,,,,,
Tier 2,"16,000","60,000",200,500,"25,000","680,000",Stone,N/A,Quartermaster 2 (Click to see inventory).,,,,,
Tier 3,"18,000","80,000",200,750,"37,500","980,000",Stone,N/A,Quartermaster 2 (Click to see inventory).,,,,,
,,,,,,,,,,,,,,
Bulwark Statue,,,,,,,,,,,,,,
Tier 1,N/A,"80,000",N/A,0.2,N/A,"1,000,000",Stone?,N/A,Available from Hivebreaker Artisans at Hivebreaker Camps. Click to see accepted currencies.,,,,,
,,,,,,,,,,,,,,
Bridge,,,,,,,,,,,,,,
Tier 1,"10,000",N/A,500,N/A,N/A,"50,000",Wood,N/A,"Some bridges have multiple segments, with each segment calculated and built individually.",,,,,
,,,,,,,,,,,,,,
Butchery,,,,,,,,,,,,,,
Tier 1,"22,000","70,000",200,80,"1,000","240,000",Wood,N/A,Butchery Table,,,,,
Tier 2,"8,000","28,000",100,40,500,"336,000",Wood?,N/A,Butchery Table,,,,,
Tier 3,"17,600","56,000",200,60,750,"528,000",Stone,N/A,Butchery Table,,,,,
,,,,,,,,,,,,,,
Campodon Statue,,,,,,,,,,,,,,
Tier 1,N/A,"10,000",N/A,"5,000","5,000","1,000,000",Stone,N/A,,,,,,
,,,,,,,,,,,,,,
Chancery,,,,,,,,,,,,,,
Tier 1,"30,000","10,000",200,20,100,"300,000",Wood,1,Required prior to the construction of any other structures in order to pay taxes.,,,,,
Tier 2,"8,000","70,000",200,10,50,"540,000",Stone,1,,,,,,
Tier 3,"2,000","20,000",600,15,75,"720,000",Stone,1,,,,,,
,,,,,,,,,,,,,,
Culinarium,,,,,,,,,,,,,,
Tier 1,"26,000","72,000",800,25,500,"300,000",Wood,N/A,Cooking Vendor I,,,,,
Tier 2,"8,000","22,000",400,37.5,750,"540,000",Wood,N/A,Cooking Vendor II & Grocery Vendor I (Click to see inventory),,,,,
Tier 3,"5,100","14,000",180,50,"1,000","720,000",Wood?,N/A,Cooking Vendor II & Grocery Vendor II (Click to see inventory),,,,,
,,,,,,,,,,,,,,
Disgorger Statue,,,,,,,,,,,,,,
Tier 1,N/A,"222,000",N/A,0.66,N/A,"1,000,000",Stone,N/A,Available from Hivebreaker Artisans at Hivebreaker Camps. Click to see accepted currencies.,,,,,
,,,,,,,,,,,,,,
Foundry,,,,,,,,,,,,,,
Tier 1,"42,200","192,000",800,400,"2,500","448,000",Wood?,N/A,Furnace & Kiln,,,,,
Tier 2,"1,800","24,000","1,400",200,"5,000","546,560",Wood?,N/A,"Furnace, Hearth, Kiln, & Natorus",,,,,
Tier 3,"4,000","28,000","1,200","2,000","10,000","612,100",Stone,N/A,"Furnace, Hearth, Kiln, Natorus, Refining Oven",,,,,
,,,,,,,,,,,,,,
General Store,,,,,,,,,,,,,,
Tier 1,"24,000","154,000",400,400,"1,000","196,000",Wood,N/A,Utility Vendor I & Equipment Vendor I (Click to see inventory),,,,,
Tier 2,"24,000","46,000",400,200,500,"241,000",Wood,N/A,Utility Vendor II & Equipment Vendor II (Click to see inventory),,,,,
Tier 3,"10,000","80,000",600,300,750,"320,000",Stone?,N/A,Utility Vendor II & Equipment Vendor III (Click to see inventory),,,,,
,,,,,,,,,,,,,,
Green Burster Lamp Post,,,,,,,,,,,,,,
Tier 1,"2,400",N/A,N/A,0.12,N/A,"1,000,000",Wood,N/A,Available from Hivebreaker Artisans at Hivebreaker Camps. Click to see accepted currencies.,,,,,
,,,,,,,,,,,,,,
Guard Tower,,,,,,,,,,,,,,
Tier 1,"34,000",N/A,200,100,"2,500","360,000",Wood,N/A,Can only be placed within 50m of and requites a dedicated Barracks to have guards respawn. Includes 1 Guild Guard total.,,,,,
Tier 2,"34,000","130,000",100,150,"5,000","660,000",Wood?,N/A,Includes 2 Guild Guards total.,,,,,
Tier 3,"4,000","110,000",200,200,"8,000","960,000",Stone,N/A,Includes 3 Guild Guards total.,,,,,
,,,,,,,,,,,,,,
Library,,,,,,,,,,,,,,
Tier 1,"26,000","150,000",250,800,"50,000","480,000",Wood,N/A,Combat Librarian & Common Librarian,,,,,
Tier 2,"16,580","60,000",150,400,"25,000","768,000",Stone?,N/A,"Animal Material Librarian, Botany Lore Librarian, Combat Librarian, Common Librarian, & Extraction Librarian",,,,,
Tier 3,"23,420","110,000",200,600,"37,500","1,075,200",Stone?,N/A,"Animal Material Librarian, Botany Lore Librarian, Combat Librarian, Common Librarian, Crafting Librarian, Extraction Librarian, Magic Librarian, & Veteran Librarian",,,,,
,,,,,,,,,,,,,,
Magic Emporium,,,,,,,,,,,,,,
Tier 1,"68,000","115,000",800,300,"3,000","380,000",Wood,N/A,Magic Vendor I (Click to see inventory),,,,,
Tier 2,"14,000","69,000",400,300,"4,000","600,000",Stone?,N/A,Magic Vendor II (Click to see inventory) & Enchantment Cognoscente,,,,,
Tier 3,"12,000","146,000",600,200,"5,000","780,000",Stone,N/A,"Magic Vendor III (Click to see inventory), Enchantment Cognoscente, & Enchantment Supplies Vendor",,,,,
,,,,,,,,,,,,,,
Pig Statue,,,,,,,,,,,,,,
Tier 1,N/A,"10,000",N/A,"5,000","50,000","1,000,000",Stone,N/A,Purchased from Jeo the Farmer at the pig farm between Fabernum and Tindrem.,,,,,
,,,,,,,,,,,,,,
Priest,,,,,,,,,,,,,,
Tier 1,"32,000","24,000",100,500,"3,000","320,000",Stone,N/A,,,,,,
Tier 2,"14,000","176,000",300,250,"4,000","800,000",Stone,N/A,,,,,,
Tier 3,"6,000","100,000",400,375,"8,000","1,400,000",Stone,N/A,,,,,,
,,,,,,,,,,,,,,
Red Priest,,,,,,,,,,,,,,
Tier 1,N/A,"82,000",N/A,500,"10,000","590,000",Stone,N/A,,,,,,
,,,,,,,,,,,,,,
Reliquary,,,,,,,,,,,,,,
Tier 1,"30,000","10,000",200,"1,000","50,000","300,000",Stone?,,,,,,,
,,,,,,,,,,,,,,
Smithy,,,,,,,,,,,,,,
Tier 1,"38,000","160,000",400,200,"1,000","380,000",Stone?,N/A,Bow Crafting Table & Weapon Crafting Table,,,,,
Tier 2,"5,400","32,000",150,200,"1,000","456,000",Stone,N/A,"Armor Crafting Table, Bow Crafting Table, Shield Crafting Table, & Weapon Crafting Table",,,,,
Tier 3,"3,300","19,200",90,100,500,"524,400",Stone,N/A,"Armor Crafting Table, Bow Crafting Table, Shield Crafting Table, & Weapon Crafting Table",,,,,
,,,,,,,,,,,,,,
Stable,,,,,,,,,,,,,,
Tier 1,"18,000","12,000",100,450,"2,000","258,000",Wood,N/A,"Equerry. Works on the same node system as legacy ""House Equerries"" and shares an inventory.",,,,,
Tier 2,"18,000",N/A,100,225,"1,000","480,000",Wood,N/A,Equerry & Pet Equipment Crafting Table,,,,,
Tier 3,"6,400","56,000",200,337.5,"1,500","840,000",Stone,N/A,Equerry & Pet Equipment Crafting Table,,,,,
,,,,,,,,,,,,,,
Stone Refinery,,,,,,,,,,,,,,
Tier 1,"54,000","220,000","8,000",800,"2,500","280,000",Stone,N/A,Grinder,,,,,
Tier 2,"90,000","150,600","26,000","1,200","5,000","372,400",Stone,N/A,"Crusher, Grinder, & Grizzly",,,,,
Tier 3,"14,400","29,400","31,000","2,000","10,000","424,500",Stone,N/A,"Attractor, Crusher, Grinder, & Grizzly",,,,,
,,,,,,,,,,,,,,
Supply Line,,,,,,,,,,,,,,
Tier 1,"25,000","100,000","1,000",50,N/A,"550,000",Wood,2 (Per Castle),"Increases defense of the local Castle, Gates, & Walls by 5%. Includes 1 Guild Guard.",,,,,
,,,,,,,,,,,,,,
Supply Storehouse,,,,,,,,,,,,,,
Tier 1,"42,000","120,000","1,000",50,500,"480,000",Wood,N/A,Increases defense of any structures within 100m by 15%.,,,,,
,,,,,,,,,,,,,,
Supply Tower,,,,,,,,,,,,,,
Tier 1,500,"5,000",N/A,5,100,"10,000",Wood,N/A,Produces 3 Supply every 30 real-world minutes.,,,,,
,,,,,,,,,,,,,,
Tagmaton Campsite,,,,,,,,,,,,,,
Tier 1,"2,400","10,000",600,0.48,N/A,"1,000,000",Wood,N/A,Includes 20 slots of bank space & a cooking campfire. Available from Hivebreaker Artisans at Hivebreaker Camps. Click to see accepted currencies.,,,,,
,,,,,,,,,,,,,,
Yellow Burster Lamp Post,,,,,,,,,,,,,,
Tier 1,"2,400",N/A,N/A,0.12,N/A,"1,000,000",Wood,N/A,Available from Hivebreaker Artisans at Hivebreaker Camps. Click to see accepted currencies.,,,,,
,,,,,,,,,,,,,,
Boltsmith's Tent,,,,,,,,,,,,,,
Tier 1,"8,000",N/A,"3,000",50,500,"20,000",Wood,N/A,,,,,,
,,,,,,,,,,,,,,
Fire Pot Tent,,,,,,,,,,,,,,
Tier 1,"4,000","8,000",N/A,50,500,"20,000",Wood,N/A,,,,,,
,,,,,,,,,,,,,,
Stone Cutting Tent,,,,,,,,,,,,,,
Tier 1,N/A,"8,000",N/A,50,500,"20,000",Wood,N/A,,,,,,
,,,,,,,,,,,,,,
Ballista,"2,200",N/A,800,120,"1,400","10,000",N/A,N/A,,,,,,
,,,,,,,,,,,,,,
Manganon,"3,000",N/A,500,250,"2,400","10,000",N/A,N/A,,,,,,
,,,,,,,,,,,,,,
Wheeled Ballista,"2,640",N/A,880,160,"2,000","10,000",N/A,N/A,,,,,,
,,,,,,,,,,,,,,
Wheeled Mangaon,"3,600",N/A,600,300,"3,000","10,000",N/A,N/A,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Note:,Corrections can be sent to MortalitasImmortalis on the MO 2 Forums or Marot on Discord.,,,,,,,,,,,,,
